time,open,high,low,close,Basis,Upper,Lower,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,ADX
2018-12-24,0.044506,0.0494,0.035908,0.043195,0.06825943500000009,0.11376024988954947,0.02275862011045071,38.781241274430535,38.88580978382879,NaN,NaN,NaN,NaN,0.002439675381600559,-0.03519494975563896,-0.037634625137239516,17.59575232177518
2018-12-31,0.042998,0.049698,0.039696,0.048691,0.06556838500000009,0.10896532317606328,0.022171446823936902,40.33897312309082,38.80785324505444,NaN,NaN,NaN,NaN,0.0036197496508725627,-0.033109938073648815,-0.03672968772452138,17.54543356405494
2019-01-07,0.04933,0.074,0.039199,0.0397,0.06290496000000009,0.10578386297376502,0.02002605702623516,38.60822460707897,38.613103125466004,NaN,NaN,NaN,NaN,0.003930717019482971,-0.031816291450167664,-0.035747008469650635,18.044891635269337
2019-01-14,0.0399,0.046266,0.039701,0.042999,0.05984171000000009,0.09906162495074353,0.020621795049256646,39.63169923803133,38.60590911935855,NaN,NaN,NaN,NaN,0.004456003785974959,-0.030177003737181934,-0.03463300752315689,18.508674129968423
2019-01-21,0.042962,0.0458,0.040297,0.040745,0.0580220600000001,0.09724019051721822,0.018803929482781985,39.15144526394522,38.500784461872186,NaN,NaN,NaN,NaN,0.004723549777543051,-0.02872857030122808,-0.03345212007877113,18.939329303617573
2019-01-28,0.040658,0.040787,0.036535,0.03765,0.05640852000000009,0.09618710568313307,0.0166299343168671,38.462231134434084,38.37065187960633,NaN,NaN,NaN,NaN,0.004751087060991074,-0.02751326125253229,-0.032264348313523365,19.183746522997524
2019-02-04,0.037762,0.042868,0.035597,0.0426,0.0540226000000001,0.0910053591528803,0.017039840847119903,40.27317517396826,38.30388298035369,NaN,NaN,NaN,NaN,0.0051293324029842435,-0.02585268280979306,-0.030982015212777304,19.46785098753456
2019-02-11,0.042443,0.042443,0.039509,0.041171,0.0518055500000001,0.08619711137470283,0.017413988625297375,39.90805522523253,38.22228429097645,NaN,NaN,NaN,NaN,0.005288782852284735,-0.024371036647421386,-0.02965981949970612,19.731662276033244
2019-02-18,0.041273,0.050574,0.040976,0.041575,0.04965330000000009,0.08079532913170492,0.018511270868295248,40.07346937074431,38.312137790524694,NaN,NaN,NaN,NaN,0.0054076618174218605,-0.022900242227928795,-0.028307904045350656,20.22148291091119
2019-02-25,0.041547,0.044399,0.041188,0.041913,0.04824145000000008,0.07807117013596447,0.01841172986403569,40.221727925502904,38.641030829186676,NaN,NaN,NaN,NaN,0.005478342409543591,-0.021459976033421167,-0.026938318442964758,20.676316357583573
2019-03-04,0.04184,0.046747,0.0392,0.045205,0.04673420000000008,0.07385604179291595,0.01961235820708421,41.733707149854,39.00842404105286,NaN,NaN,NaN,NaN,0.005691139130195054,-0.01982439453022094,-0.025515533660415993,21.17585292333774
2019-03-11,0.045294,0.051502,0.044498,0.0497,0.045589200000000094,0.07004940184381062,0.021128998156189568,43.823075346359836,39.62483845636034,NaN,NaN,NaN,NaN,0.006045657723531422,-0.017958461506001715,-0.024004119229533136,21.800417378267074
2019-03-18,0.049658,0.071,0.048871,0.06119,0.044778350000000085,0.06579915103397486,0.023757548966025305,48.87022825574996,40.62708112878817,NaN,NaN,NaN,NaN,0.0069030456721226804,-0.015375312139379788,-0.022278357811502468,22.98493262127901
2019-03-25,0.0609,0.072707,0.056006,0.069574,0.04444205,0.06356438388972133,0.025319716110278667,52.24194481768734,41.5799427075793,NaN,NaN,NaN,NaN,0.00781672559611079,-0.01250745081636398,-0.02032417641247477,24.134390650536318
